image_path,label,source,notes
raw/74850e56cff140e9a2b51f45d9aabbfb/2026-02-21T08-36-13Z-7384ec7d.jpg,chatgpt_ui,collection_mode,
raw/74850e56cff140e9a2b51f45d9aabbfb/2026-02-21T08-36-28Z-8b3660f5.jpg,not_ai_ui,collection_mode,
raw/74850e56cff140e9a2b51f45d9aabbfb/2026-02-21T08-36-58Z-4d3f4450.jpg,not_ai_ui,collection_mode,
raw/74850e56cff140e9a2b51f45d9aabbfb/2026-02-21T08-37-19Z-c33828ab.jpg,not_ai_ui,collection_mode,
raw/74850e56cff140e9a2b51f45d9aabbfb/2026-02-21T08-37-54Z-a4e65791.jpg,not_ai_ui,collection_mode,
raw/74850e56cff140e9a2b51f45d9aabbfb/2026-02-21T08-38-14Z-e79873bd.jpg,not_ai_ui,collection_mode,
raw/74850e56cff140e9a2b51f45d9aabbfb/2026-02-21T08-38-34Z-9fb13484.jpg,not_ai_ui,collection_mode,
raw/74850e56cff140e9a2b51f45d9aabbfb/2026-02-21T08-38-49Z-949d4e87.jpg,not_ai_ui,collection_mode,
raw/74850e56cff140e9a2b51f45d9aabbfb/2026-02-21T08-39-34Z-0cbb4ff9.jpg,not_ai_ui,collection_mode,
raw/74850e56cff140e9a2b51f45d9aabbfb/2026-02-21T08-40-29Z-c178ce5f.jpg,not_ai_ui,collection_mode,
raw/74850e56cff140e9a2b51f45d9aabbfb/2026-02-21T08-43-20Z-c8a853f1.jpg,not_ai_ui,collection_mode,
raw/74850e56cff140e9a2b51f45d9aabbfb/2026-02-21T08-44-11Z-d31e3ec7.jpg,not_ai_ui,collection_mode,
raw/74850e56cff140e9a2b51f45d9aabbfb/2026-02-21T08-45-21Z-da4d5764.jpg,not_ai_ui,collection_mode,
raw/74850e56cff140e9a2b51f45d9aabbfb/2026-02-21T08-45-36Z-cd80eb13.jpg,not_ai_ui,collection_mode,
raw/74850e56cff140e9a2b51f45d9aabbfb/2026-02-21T08-45-56Z-b9c752f7.jpg,not_ai_ui,collection_mode,
raw/74850e56cff140e9a2b51f45d9aabbfb/2026-02-21T08-46-21Z-b930439e.jpg,not_ai_ui,collection_mode,
raw/74850e56cff140e9a2b51f45d9aabbfb/2026-02-21T08-48-37Z-dafce72f.jpg,not_ai_ui,collection_mode,
raw/74850e56cff140e9a2b51f45d9aabbfb/2026-02-21T08-49-22Z-d16f42e9.jpg,not_ai_ui,collection_mode,
raw/74850e56cff140e9a2b51f45d9aabbfb/2026-02-21T08-49-38Z-17f09fa5.jpg,not_ai_ui,collection_mode,
