image_path,current_label,suggested_label,reason,metadata_path,confidence
raw/e7c27e0705464be2828172e15c4b133b/2026-02-21T14-01-26Z-fef01823.jpg,ai_ui,gemini_ui,keyword: gemini/bard,raw/e7c27e0705464be2828172e15c4b133b/2026-02-21T14-01-26Z-fef01823.json,0.800
raw/e7c27e0705464be2828172e15c4b133b/2026-02-21T14-02-07Z-071640b8.jpg,ai_ui,chatgpt_ui,keyword: chatgpt/openai,raw/e7c27e0705464be2828172e15c4b133b/2026-02-21T14-02-07Z-071640b8.json,0.800
raw/e7c27e0705464be2828172e15c4b133b/2026-02-21T14-03-02Z-c5b84d95.jpg,deepseek_ui,ai_ui,detector marked ai_ui,raw/e7c27e0705464be2828172e15c4b133b/2026-02-21T14-03-02Z-c5b84d95.json,0.780
raw/e7c27e0705464be2828172e15c4b133b/2026-02-21T14-12-35Z-2fcd395d.jpg,deepseek_ui,ai_ui,detector marked ai_ui,raw/e7c27e0705464be2828172e15c4b133b/2026-02-21T14-12-35Z-2fcd395d.json,0.780
raw/e7c27e0705464be2828172e15c4b133b/2026-02-21T14-18-18Z-311503fe.jpg,chatgpt_ui,ai_ui,detector marked ai_ui,raw/e7c27e0705464be2828172e15c4b133b/2026-02-21T14-18-18Z-311503fe.json,0.780
raw/synthetic-browser-v3/2026-02-21T04-11-50Z-00000-qwen_ui-956269f0.jpg,,ai_ui,detector marked ai_ui,raw/synthetic-browser-v3/2026-02-21T04-11-50Z-00000-qwen_ui-956269f0.json,0.808
raw/synthetic-browser-v3/2026-02-21T04-11-56Z-00001-ai_ui-a56c0941.jpg,,ai_ui,detector marked ai_ui,raw/synthetic-browser-v3/2026-02-21T04-11-56Z-00001-ai_ui-a56c0941.json,0.849
raw/synthetic-browser-v3/2026-02-21T04-12-00Z-00002-perplexity_ui-8dfa6a56.jpg,,perplexity_ui,keyword: perplexity,raw/synthetic-browser-v3/2026-02-21T04-12-00Z-00002-perplexity_ui-8dfa6a56.json,0.800
raw/synthetic-browser-v3/2026-02-21T04-12-00Z-00006-chatgpt_ui-8da8eee4.jpg,,chatgpt_ui,keyword: chatgpt/openai,raw/synthetic-browser-v3/2026-02-21T04-12-00Z-00006-chatgpt_ui-8da8eee4.json,0.800
raw/synthetic-browser-v3/2026-02-21T04-12-02Z-00003-gemini_ui-89456f27.jpg,,gemini_ui,keyword: gemini/bard,raw/synthetic-browser-v3/2026-02-21T04-12-02Z-00003-gemini_ui-89456f27.json,0.800
raw/synthetic-browser-v3/2026-02-21T04-12-10Z-00005-meta_ai_ui-d1bdb8c0.jpg,,ai_ui,detector marked ai_ui,raw/synthetic-browser-v3/2026-02-21T04-12-10Z-00005-meta_ai_ui-d1bdb8c0.json,0.784
raw/synthetic-browser-v3/2026-02-21T04-12-12Z-00011-mistral_ui-076979d6.jpg,,ai_ui,detector marked ai_ui,raw/synthetic-browser-v3/2026-02-21T04-12-12Z-00011-mistral_ui-076979d6.json,0.915
